	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62
Adipocytes	1	1	1	1	0	1	0	0.96459	0.05285	0	0	1	1	0.34794	0	0.0814866666666667	0.338776666666667	0	0.00228666666666666	0.696013333333333	1	1	0	1	0	0.637463333333333	1	0	0.1639	0.4095	1	1	1	0.17693	0.123913333333333	1	0.0248633333333333	1	0.621146666666667	1	1	1	1	0.129596666666667	0.757853333333333	0.0731000000000001	1	1	0.0784633333333333	0.00961999999999996	1	1	1	0.05676	0	0.000173333333333359	0.39959	1	0.0127833333333334	0	0.757853333333333	0.0855233333333333
Astrocytes	1	1	1	0.00883999999999996	1	1	0.49366	1	0.31508	0.305193333333333	1	1	1	1	0.06674	0.24132	1	1	0.0516266666666667	1	0	0.294053333333333	1	0.37359	0.0928866666666667	0.130396666666667	0.0250533333333334	1	1	1	1	1	1	0.23052	0.0672	1	1	1	1	0.238663333333333	0.113146666666667	1	1	0.262046666666667	1	1	1	1	0	0.31612	0.287973333333333	1	1	0.321856666666667	1	1	0.249656666666667	0.253473333333333	1	0.0235133333333334	1	1
B-cells	0.696383333333333	0	1	0.0626100000000001	0.00952666666666668	1	0.0610966666666667	0.0401633333333333	0.252466666666667	0.00306666666666666	0	0.1052	0.05506	0.12484	0.0769533333333333	0.247653333333333	1	0	9.99999999995449e-06	0.02147	0	0.02147	0	0	0.01211	0.104386666666667	0.0035033333333333	0.42031	1	0.106996666666667	0	1	1	1	0.00783	0.189853333333333	0.244333333333333	0.125793333333333	1	0	0.00249999999999995	0.0388033333333333	0.00827666666666671	0	0.0135866666666666	0.158526666666667	0.337933333333333	0.0319933333333333	0	0.588236666666667	0.57772	1	0.0222466666666666	0	1	0	0.26257	0	0.329953333333333	0.01894	0.01949	0.893543333333333
Basophils	0.08384	0.25433	0.43715	1	0.469296666666667	0.161153333333333	0.445333333333333	1	1	0.612673333333333	0.221773333333333	1	0.442283333333333	0.400476666666667	0.213583333333333	0.705686666666667	0.66614	0.440106666666667	1	0.409806666666667	1	0.53593	0.159493333333333	1	0.855583333333333	1	1	0.601193333333333	0.20237	0.28127	0.30469	0.244163333333333	0.150456666666667	0.4203	1	0.19358	1	0.261913333333333	0.220486666666667	1	1	0.316316666666667	0.881216666666667	0.141443333333333	1	0.509083333333333	0.292123333333333	0.147823333333333	1	0.36269	1	0.0943866666666666	0.243533333333333	1	1	0.2754	1	0.388716666666667	1	1	0.182116666666667	0.15686
CD4+ T-cells	0.164636666666667	1	0.628406666666667	0.39263	0.577556666666667	0.5463	0.590743333333333	0.4691	1	0.109893333333333	0.560826666666667	0.442883333333333	0.52996	0.373433333333333	0.44153	0.07498	1	0.33067	0.325433333333333	0.164036666666667	0.0170166666666667	0.104403333333333	0.631313333333333	1	0.219106666666667	0.20871	0.15898	1	0.63474	0.237886666666667	0.143913333333333	1	0.311266666666667	0.65739	0.28953	0.426226666666667	0.43951	0.59909	0.388853333333333	0.07782	0.444203333333333	0.406896666666667	0.424986666666667	0	0.133636666666667	0.512753333333333	0.43951	0.151403333333333	0.236626666666667	0.197663333333333	0.595153333333333	0.544726666666667	0.11694	0.0234166666666666	1	0.295523333333333	0.56231	0.107303333333333	0.63003	0.575083333333333	0.376696666666667	0.50489
CD4+ Tcm	0	0.12622	1	1	1	0	0.192956666666667	1	0.233203333333333	1	0.0190533333333334	1	1	1	1	0.20038	0.18946	0	1	1	0.0601166666666667	0.318416666666667	0.0370366666666667	0.142973333333333	1	0.0227933333333333	1	1	0.00205333333333335	1	1	1	0.000743333333333318	0.144796666666667	1	0	1	1	0.08497	0.0345733333333333	1	1	1	0.0297666666666667	0.0196566666666667	0.10773	0.0396333333333333	0	1	0	0.0330366666666667	0	1	0.07306	0.220463333333333	0.314526666666667	0.111893333333333	0.240873333333333	1	1	1	1
CD4+ Tem	1	0.00256333333333336	1	1	1	1	1	1	0.669396666666667	1	1	1	1	1	1	1	0.49422	0.521646666666667	1	1	0.29679	1	0.0168333333333334	0.0480466666666667	1	1	1	0.45521	1	0.526396666666667	0.32711	1	0.317016666666667	1	1	0.222953333333333	1	1	0.305683333333333	0.0464366666666667	1	0.476403333333333	1	0.68423	0.633523333333333	0.646093333333333	1	0.585663333333333	0.475486666666667	1	0.747993333333333	0.18173	1	0.3163	1	1	0.676033333333333	0.80868	1	1	1	0.56568
CD4+ memory T-cells	0.54051	1	0.43769	0.794993333333333	0.333876666666667	1	0.7086	0.123603333333333	1	0.02144	0.66591	0.461796666666667	0.57647	0.420573333333333	0.90921	0.224143333333333	0.88132	0.629963333333333	0.300246666666667	0.0764666666666667	0.18589	0.470483333333333	1	1	0.593103333333333	0.367006666666667	0.111136666666667	1	0.875586666666667	0.206216666666667	0.374823333333333	0.85939	0.83526	0.43769	0.156596666666667	0.699203333333333	0.50642	0.461276666666667	0.59784	0.525133333333333	0.75053	0.26178	0.24041	0.0879733333333333	0.209186666666667	0.912756666666667	0.23887	0.80969	0.257683333333333	0.786633333333333	0.31352	1	0.52695	0.0708233333333333	1	0.2594	0.765916666666667	0.224143333333333	0.559306666666667	0.97688	0.10919	0.488663333333333
CD4+ naive T-cells	0.71002	0.111583333333333	1	1	0.512616666666667	0.225236666666667	1	1	1	1	1	1	1	1	0.0359833333333334	0.268676666666667	1	1	0.21494	1	0	0.0451066666666666	0.09384	0.576283333333333	0.13628	0.608173333333333	0.07882	1	1	0.44276	0.0464666666666667	1	1	0.50221	0.478026666666667	0.917636666666667	1	0.560466666666667	1	0.00311666666666666	0.375233333333333	1	1	0.00660000000000005	0.805346666666667	0.3471	1	0.772326666666667	0	0.448123333333333	0.7907	0.1731	0.38846	0.71002	1	1	1	0.0091633333333333	1	0.168073333333333	1	1
CD8+ T-cells	1	0.41223	0.641863333333333	1	0.381843333333333	0.401626666666667	0.286696666666667	1	1	1	0.273813333333333	1	1	1	0.0154233333333333	0.8594	0.31242	0.0527566666666667	0.88048	1	0.126206666666667	0.518883333333333	0.273813333333333	1	0.276993333333333	0.330416666666667	1	1	0.171063333333333	0.696946666666667	0.442083333333333	1	0.545553333333333	1	1	1	0.400173333333333	1	0.9173	0.136436666666667	1	0.50969	0.96086	0.0383566666666667	0.213456666666667	0.65401	1	0.584386666666667	0.2503	0.303413333333333	0.218116666666667	0.12765	1	0.471323333333333	1	0.177046666666667	1	0.0393	1	1	1	0.9173
CD8+ Tcm	1	1	1	0.947523333333333	1	1	1	0.30876	1	0.421863333333333	1	1	0.53388	0.739896666666667	1	1	1	1	1	1	0.198106666666667	1	1	1	1	1	0.566046666666667	1	1	1	0.21313	1	1	1	0.431296666666667	1	1	1	0.88628	0.908093333333333	0.64398	0.75466	0.872923333333333	0.14643	0.29724	1	0.81787	1	0.404203333333333	1	1	0.7122	1	0.276266666666667	1	1	1	0.218136666666667	1	1	0.436933333333333	0.14137
CD8+ Tem	1	0.32371	1	1	1	0.601886666666667	1	1	0.834663333333333	1	1	1	1	1	0.419043333333333	1	1	1	1	1	0.71421	1	0.274443333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.57591	1	1	1	0.278796666666667	0.66827	0.960533333333333	1	1	0.379276666666667	0.864083333333333	1	0.01977	1	0.79623	1	1	1	0.787893333333333	1	1	1	1
CD8+ naive T-cells	0	0	6.66666666671034e-06	1	0.0055466666666667	0	0	0	0.00309666666666664	0	0	0.00365333333333329	0	0	0	0	0	0	0.00843666666666665	0.00748666666666664	0.00438666666666665	1	0	0.000560000000000005	0	0	1	0	0	0.01753	0	0.000233333333333308	0	0	1	0	0	0.547953333333333	0	0.000879999999999992	1	0	0.0357866666666666	0	1	0	0	0	1	0	0.0234066666666667	0	0	0.000213333333333288	0	0	0.0664466666666667	0	0.0035033333333333	0.195326666666667	0.00971999999999995	0.000333333333333297
CLP	0.0163633333333333	0	0.0013333333333333	0.27789	0	0.00529666666666662	0	0	0.07957	0	3.33333333333297e-05	0	0	0	0	0.261966666666667	0	0.00815333333333335	6.66666666671034e-06	0	0.103416666666667	1	0	0.32184	0.0123466666666666	0	0.08117	0	0.297896666666667	0.451803333333333	0	0	0.00963999999999998	0.00268666666666662	0	0.03533	0.00331666666666663	0.0176733333333333	0	0	0.11428	0	0	0.0262033333333334	0	0	0	0.34812	0	0.96146	0.00127333333333335	0	0	0.00354333333333334	0	0	0.0620566666666666	0.00425666666666669	0.0772433333333333	0.0926033333333334	0	0
CMP	0.131143333333333	0.349733333333333	1	0.745383333333333	0.545436666666667	0.0895033333333334	0.164863333333333	1	1	0.73429	1	1	1	0.321123333333333	0.112946666666667	0.178563333333333	1	0.171646666666667	0.127383333333333	0.562973333333333	1	0.0880733333333333	1	1	0.153623333333333	1	0.945013333333333	0.787843333333333	0.78397	0.0632266666666667	1	1	0.210996666666667	1	1	0.202873333333333	1	0.109996666666667	0.653486666666667	0.376903333333333	0.27764	1	0.63824	1	1	0.678946666666667	0.167943333333333	0.0496233333333334	1	0.113906666666667	1	1	0.851703333333333	0.37031	1	0.35601	0.76046	1	0.62015	1	0.160993333333333	1
Chondrocytes	0	0.346956666666667	1	0	0	0.178753333333333	0	0	0	1	0.16448	0.0182766666666667	1	1	0	0	0.0113166666666666	0	0	1	0	0	0.0461666666666667	0	0	0	0	0.0119066666666666	0.0124133333333334	0.0132133333333333	0	0	1	0	0	0.466243333333333	0.01795	0	0	0	0	1	0.00570333333333328	1	0	1	1	1	0	0.0249566666666666	0	1	1	0.0127366666666666	0	0	0.00128666666666666	0	0	0	0.000166666666666648	1
Class-switched memory B-cells	0.0155666666666666	0	0	0.0387766666666667	0.122943333333333	0	0.415923333333333	0	0	0.185536666666667	0	1	0.03194	0	1	0	0.00761999999999996	0	0	0.00653999999999999	0	0	0.000133333333333319	0	1	0	0	1	0.49969	0	0	1	0.0180133333333333	0.18111	0	0	0.00296333333333332	0	0	0	0	0.577953333333333	0	0	0	0.087	0.0860933333333334	0	0	0	0	1	0	0	1	0	0	0	0	0.0375333333333333	1	0.000323333333333342
DC	0.170266666666667	0	0.249126666666667	0.0794066666666666	0	0.00568333333333337	0.0661266666666667	0.480466666666667	0.00626000000000004	0	0.320826666666667	0.00836000000000003	0.0661266666666667	0.136916666666667	0.0263933333333334	0.0313966666666666	0.0476766666666667	0	0.00296333333333332	0.02293	0	0.00243333333333329	0	0	0	0	0	0	0.273356666666667	0.00173333333333336	0	0.766693333333333	1	0.0991766666666667	0	0.814103333333333	0.09692	0	0.151593333333333	0	0	0	6.66666666671034e-06	0	0	0	1	0.830373333333333	0	0.485973333333333	0	0	0.00836000000000003	0	0.0754666666666667	0.0688333333333333	0.02175	0	0	0	0.18884	0.758776666666667
Endothelial cells	0	0	0	0	0	0	0	1.33333333333097e-05	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00175999999999998	0	0	0	1	0	0	0	0	0	0	0	0	0	3.33333333335517e-06	0	0	0	0	0	0	0	0	0
Eosinophils	0.758443333333333	0.0279133333333333	0.387136666666667	0.10427	0.50575	0.11657	0.295116666666667	0.93461	0.0456733333333333	1	1	0.136713333333333	0.487813333333333	0.601333333333333	0.379546666666667	0.0482533333333334	0.09584	1	0.55628	0.729056666666667	0.0267566666666667	0.12171	0.142643333333333	0.0143466666666666	0.460513333333333	0.200783333333333	0.15241	0.313656666666667	0.109843333333333	0.356156666666667	0.0974566666666666	0.354966666666667	0.479956666666667	0.0367533333333333	0.163983333333333	0.09437	0.0341066666666666	0.2178	0.27574	0.292453333333333	0.113716666666667	0.677796666666667	0.276686666666667	0.462213333333333	0.0906766666666666	0.0960733333333333	0.26968	0.111103333333333	0.295116666666667	0.133183333333333	0	0.223076666666667	0.23532	0.373716666666667	0.295116666666667	1	0.167976666666667	0.0573966666666667	0.0510066666666666	0.02244	1	0.71057
