	TCGA.ZG.A9KY.01	TCGA.HC.8256.01	TCGA.EJ.5521.01	TCGA.KK.A6DY.01	TCGA.J9.A52E.01	TCGA.V1.A9OH.01	TCGA.FC.7961.01	TCGA.ZG.A9LZ.01	TCGA.XK.AAJT.01	TCGA.XJ.A83G.01	TCGA.ZG.A9L6.01	TCGA.EJ.7789.01	TCGA.J4.A83J.01	TCGA.VN.A943.01	TCGA.CH.5739.01	TCGA.HC.A632.01	TCGA.G9.6377.01	TCGA.KK.A8ID.01	TCGA.HC.8265.01	TCGA.CH.5754.01	TCGA.KK.A7AZ.01	TCGA.CH.5751.01	TCGA.V1.A8WV.01	TCGA.G9.7521.01	TCGA.FC.A4JI.01	TCGA.KK.A7AP.01	TCGA.EJ.A65J.01	TCGA.EJ.A65F.01	TCGA.XK.AAIV.01	TCGA.HC.7212.01	TCGA.YL.A9WY.01	TCGA.ZG.A9LS.01	TCGA.V1.A9OA.01	TCGA.EJ.5511.01	TCGA.CH.5761.01	TCGA.XQ.A8TA.01	TCGA.V1.A9ZK.01	TCGA.EJ.5525.01	TCGA.ZG.A9L0.01	TCGA.J9.A8CL.01	TCGA.J9.A52B.01	TCGA.EJ.7125.01	TCGA.G9.6494.01	TCGA.KK.A7AW.01	TCGA.HC.7078.01	TCGA.G9.A9S7.01	TCGA.V1.A8MG.01	TCGA.KK.A8IB.01	TCGA.VN.A88M.01	TCGA.KK.A59X.01	TCGA.M7.A725.01	TCGA.G9.6361.01	TCGA.KK.A7AQ.01	TCGA.EJ.A46G.01	TCGA.YL.A8SR.01	TCGA.YJ.A8SW.01	TCGA.XK.AAJP.01	TCGA.2A.A8VT.01	TCGA.V1.A9ZI.01	TCGA.KK.A59V.01	TCGA.HC.7080.01	TCGA.EJ.5517.01	TCGA.KK.A8I9.01	TCGA.VP.AA1N.01	TCGA.KK.A7AU.01	TCGA.ZG.A9LB.01	TCGA.KK.A59Z.01	TCGA.HC.7213.01	TCGA.V1.A8MF.01	TCGA.V1.A9O7.01	TCGA.HC.A6AL.01	TCGA.YL.A8SO.01	TCGA.HC.7745.01	TCGA.ZG.A9ND.01	TCGA.EJ.5518.01	TCGA.XJ.A83H.01	TCGA.ZG.A9N3.01	TCGA.KK.A8I8.01	TCGA.EJ.5527.01	TCGA.YL.A9WK.01	TCGA.V1.A9O5.01	TCGA.EJ.7123.01	TCGA.EJ.5504.01	TCGA.YL.A9WJ.01	TCGA.G9.6332.01	TCGA.CH.5762.01	TCGA.J4.A67M.01	TCGA.X4.A8KQ.01	TCGA.KK.A8IA.01	TCGA.V1.A9Z8.01	TCGA.2A.A8VX.01	TCGA.V1.A8MM.01	TCGA.KK.A8IF.01	TCGA.HC.A6AO.01	TCGA.VP.A875.01	TCGA.ZG.A9LN.01	TCGA.VP.A87H.01	TCGA.EJ.5514.01	TCGA.YL.A9WH.01	TCGA.HC.7742.01	TCGA.J9.A8CM.01	TCGA.KK.A7B4.01	TCGA.QU.A6IL.01	TCGA.KK.A8I4.01	TCGA.YL.A9WI.01	TCGA.XK.AAIW.01	TCGA.EJ.5507.01	TCGA.G9.7510.01	TCGA.EJ.5526.01	TCGA.YL.A8HO.01	TCGA.HC.A4ZV.01	TCGA.ZG.A9L9.01	TCGA.YL.A8SK.01	TCGA.CH.5767.01	TCGA.CH.5753.01	TCGA.YL.A8S9.01	TCGA.KK.A59Y.01	TCGA.KK.A7AV.01	TCGA.J4.A67N.01	TCGA.ZG.A9L5.01	TCGA.V1.A9OL.01	TCGA.G9.A9S0.01	TCGA.G9.6373.01	TCGA.EJ.A46F.01	TCGA.EJ.5532.01	TCGA.HC.A8CY.01	TCGA.ZG.A9LY.01	TCGA.YL.A8S8.01	TCGA.KK.A6E8.01	TCGA.M7.A724.01	TCGA.KK.A8IK.01	TCGA.VP.A87D.01	TCGA.YL.A8SQ.01	TCGA.QU.A6IO.01	TCGA.KK.A8I7.01	TCGA.ZG.A9L1.01	TCGA.ZG.A9LU.01	TCGA.J4.AATZ.01	TCGA.EJ.7784.01	TCGA.HC.8266.01	TCGA.2A.A8W1.01	TCGA.2A.A8VV.01	TCGA.EJ.7312.01	TCGA.HI.7171.01	TCGA.EJ.7781.01	TCGA.YL.A8HM.01	TCGA.HI.7168.01	TCGA.KC.A4BV.01	TCGA.ZG.A9LM.01
Adipocytes	1271.47999362576	578.814818944623	680.470187992526	624.24335180243	296.071953470485	612.868177234103	675.469780815944	475.547220028255	1035.29712057045	615.305258168258	832.856108055825	401.917177648173	576.158116598586	526.382417539353	684.476933446595	417.273422912867	620.444819058308	402.313503582595	514.794705854048	684.072286380951	824.934092430006	764.441690068524	385.491951572752	515.331434516111	501.42194500414	391.093589082295	391.393808347039	507.27147974931	289.703865762365	223.797446478668	795.167926889591	578.555665605554	586.251540293506	600.623199189965	471.922288217518	1119.93267319133	458.351697847284	279.357878302311	651.582902251361	403.971605461418	442.959217799107	862.293107162403	495.745175254882	726.075386658302	611.174682154024	426.458086018972	570.106756710902	398.213047184185	575.217013000288	253.795103877419	709.324194823725	954.460717697687	759.887304066367	488.98512445844	856.610078652876	398.587400830774	402.577108089702	395.464078222012	625.984245092712	608.716145403707	353.483122306108	854.188013840938	382.120335403247	337.209800192923	830.896971823512	616.475775157754	555.03279241182	426.913335977862	677.961379820967	1254.97231753824	1642.74444104104	845.985184688312	508.341813591394	361.292116286228	564.103498516893	487.668611561926	787.060244758618	347.725868824811	434.693648579755	1826.07597313848	324.107095817945	570.889886930765	410.869987614336	729.705536842589	462.552654721378	742.232686156322	638.931722446214	392.306331308826	593.61289930371	834.477205588425	939.088082126856	578.221043186715	623.439411922885	723.043622579491	617.423025320956	854.876974624246	474.952704167704	550.217077198643	394.265953443416	1033.51686944645	762.641304528357	339.600226481093	583.818879165467	674.75391518892	428.832625500237	450.255708518395	538.423814569866	635.321185975685	560.171533552642	742.004336033702	530.093339272365	695.347332344552	866.49320777795	927.91114663977	445.2510349556	565.498593462265	573.897386606767	471.80790735341	471.806155301022	746.511639243717	517.249654028554	564.460870191092	829.317775485007	401.417461980056	702.891838447085	632.866485436931	565.919631027476	724.50997001982	805.308994670543	624.908680996921	475.224555140244	538.699283585299	470.118452247905	365.7104662282	670.299863804786	1276.68152194085	449.907564170045	528.361577880376	305.227513583814	464.80547695205	726.406878191044	811.411375416006	583.013298500895	442.400703806778	656.438421100064	406.918110087986	1617.35825065784	718.578105829675	347.814159982263
Astrocytes	841.932009547037	881.55686134552	1403.85558131459	1267.45315216674	2239.46191695818	1621.02706289663	1805.42302887257	1302.42579138815	2031.06769510081	958.828176868757	2080.65097379759	786.11049666387	1186.19974834538	261.144530317969	1649.29405812559	1525.13981520077	1338.80682318859	545.563348544644	1375.22226303219	1392.46124780854	1261.99933406306	1202.70473543539	1600.58754476703	1697.1734924547	155.489445075475	943.445477530934	1191.70585707015	1243.75068539425	1781.26026267973	1138.58586922239	2039.062702115	2272.57054034365	2051.59305193509	1542.14067087864	1603.49462810368	537.926412180307	1498.08516237014	1839.6910206601	1871.45370765185	2118.49362849649	1478.26068100487	1447.30585709772	1558.94422440283	1163.9885741078	1449.50476003255	906.60999347905	1742.7736065715	1698.08758746708	988.667132936669	1481.0762503082	1058.9025931755	1870.12506595483	1633.5371701614	1671.56968943392	1193.64066867885	1128.89046752448	1034.81320139696	749.304747815267	1835.24659539394	1073.06071212334	477.025346482699	1599.48317943086	1671.28442086139	1618.2468177273	308.630801475195	1607.72317954209	1850.86691883683	1576.41008753926	1387.5054914961	2154.50648252602	1325.74569658963	1661.96752337525	1956.99685588802	721.022393429705	1755.84784495845	1155.10582413793	1330.10269084096	1099.09292768255	1733.73740952516	1707.29936620932	1310.32641562552	1142.64644365588	1697.68233061802	1751.06139471276	765.470622950922	1611.61469912822	1920.45384042863	1959.04672515603	1047.21841249773	1925.49250680719	1289.67363882858	1638.00871227654	986.645587649086	812.203841332208	756.142739594973	2043.05101179145	1247.19866617332	1591.51434324689	1315.20674733979	1794.91375777402	2085.17139043179	1315.94131754837	1196.80861430209	1924.56356991842	1188.80851890093	699.646316638731	1557.84382248789	1748.59699072565	1726.92611852461	2055.85231355379	1643.9020998853	2227.95056595759	1810.05388731587	1197.11671096663	720.790637919107	275.19143879592	1102.67002562372	1439.16907001603	1115.26831421066	1070.03735023089	1377.75967482257	1250.47124415829	1760.80199273506	728.838478453753	1465.87223709681	849.52388059215	1804.97652607646	1583.97360447546	1043.13282951309	180.708545259391	688.477980879724	986.154103041807	1478.28338577957	1220.80544652424	1652.75442302282	1824.16381032576	1639.11046620814	954.126663364604	988.294535524317	1600.3900132782	306.032542729952	1486.10866978425	1194.84617547587	1195.62436267693	1542.581566943	895.285189977356	2144.46581084899	1802.07621944848	1851.03693714892
B-cells	1148.90777549596	605.230833778461	350.696684744014	494.101890133846	495.932899180343	419.661523752642	487.969615445216	511.76824024692	415.462162679068	300.36685128346	623.212825293178	637.074629248737	544.494826845968	370.94033766988	593.532020807284	1669.82609483778	495.403107181308	498.390709606694	382.985347447076	819.313005673444	506.656294073029	2237.52174035543	769.411511541254	846.422400307603	797.614476671901	457.771491210753	590.651936412384	521.151085829867	1299.30068630811	436.197530777204	957.81124525373	1132.29838692152	466.417363585983	499.041837672811	537.944857582801	578.200460280188	441.002077613516	655.970313957354	539.774564687219	799.822904446868	324.956191980301	649.723965382692	452.521226990124	937.617099191441	526.465837376293	509.804281622774	405.702704362896	633.747126286689	349.59950053422	330.731555437819	310.584146907866	217.474267526142	375.559438493665	433.470628583843	374.078119512658	578.140496619735	558.564010401225	515.525395186085	448.306725702089	1709.02686345252	386.206645157098	883.913044898666	353.06512004206	345.211719849927	255.663320680328	448.257401768294	425.861296736207	416.707874923273	598.218677816988	479.71837217006	510.696256305071	594.592967550486	568.067962792544	360.797673504106	509.908515333059	485.140329241955	1521.30241403328	551.63633947892	701.346985986802	605.243329379114	611.586832248601	443.315703208978	386.317573016657	491.570531050038	279.928420108056	964.682079498145	494.927967027148	169.006926807497	400.134124861341	549.188581245946	440.046246073456	468.467561192633	555.010653963076	440.526187846324	385.68336726996	1391.51242882613	512.964727342752	818.124618484184	411.693929300586	245.798758237938	400.547605366427	618.385837411332	156.312056352289	978.752523880889	602.033974801396	719.754619767574	497.151485082149	427.518982195504	681.964652616603	1050.00084591011	1101.92675005552	370.226882142756	424.063833679881	415.622208691773	756.370822999659	412.689331423015	497.453196724069	1207.11452328303	229.841621168663	505.879223910584	596.976690297098	540.289410324251	418.668393130915	301.495689295475	593.781172653823	942.838200500079	523.018482402808	448.661449585683	335.637353259282	241.669640482	616.885354477775	518.911735022802	824.414813647309	452.456341723593	538.093498149444	237.216274042812	352.603779267656	404.431684002021	425.599138313808	1091.07985013327	383.421494995145	264.587603494065	334.178181306243	463.653524938571	697.277192941485	777.739706095041	127.108800259441	446.736103806656	638.323176880163
Basophils	672.672315650868	318.965026099197	294.697139811784	251.661177458165	329.013612037386	291.354166315484	292.86132089157	353.31629810603	336.42414364624	427.08266983524	266.992772068735	355.448388856955	442.634926725307	431.099012149018	344.718148741333	231.415112177005	208.548403257783	399.706766843429	356.14289890443	257.151023349252	265.42622517485	512.808985035871	357.867248859138	396.608043189969	442.590594348589	360.24796938344	319.867029679153	490.59475076857	278.089775009822	353.984643158083	259.343647365114	316.34295888154	316.369717797822	299.169059472291	403.116838642202	480.066318431813	399.132433244546	264.94128882387	224.876347466076	410.3357373875	323.211149028083	366.953444475087	303.919433871491	579.704059222064	346.582366036947	205.045346521988	320.753814434428	352.424410902325	369.523234200931	439.82304797916	341.48471975233	283.552969134747	518.675400840264	485.743302482835	439.366468579367	270.823865719449	504.306177047408	386.673813103611	375.445318393345	520.760099035647	496.029412613212	365.349819761783	384.428761003031	294.063051069772	499.234922939396	293.887805242692	386.956874031063	314.903181942519	370.550666646986	353.178258912024	379.597949269253	273.986451923068	225.658338298419	553.492973765929	448.921261187764	382.250070761097	410.830709139364	334.327676818726	248.224408777009	381.383848701143	238.062251411428	329.270067088441	298.939994634944	299.20360049747	392.791443531721	352.503819007032	448.330344643506	256.854305545203	320.885750975161	280.347437932419	367.57729341073	396.436990326621	309.810631186499	588.094701395141	390.996189637889	455.835907499226	393.743947902772	379.234535389509	217.733519545055	183.477870618533	316.169783675442	275.609236781873	452.751821432906	299.902209455213	358.325816909404	479.021458953744	284.355760765813	316.999031062546	257.780303400193	284.036719757569	417.80943658463	397.077460272383	260.48886300327	431.045041111564	380.987384495795	435.521648345791	407.025959430121	320.203636683162	566.222749829577	446.054385642281	322.390189354427	184.485434376855	324.735206365853	218.603395700862	312.409989455348	487.925027500126	227.100298171658	285.789813057808	325.952115588837	630.683779603879	214.898633481236	483.677755814778	463.352266036852	546.400064607045	379.628337444867	550.137780849833	569.620622423819	550.363782847975	211.075209233612	310.790642546726	365.509396892429	267.195253095025	430.218698244098	301.752546905194	259.814100785863	350.880029354401	312.456547296296	345.588223289393	107.239357778323
CD4+ T-cells	840.422461843846	483.181323274891	194.511467091412	522.72817529747	537.410701105804	357.545584869914	605.337770821351	490.767030848181	393.633533860374	238.045332149219	471.140374467551	481.557452381377	521.501426815729	513.564266604673	510.274935832079	721.276087039284	440.988733890965	549.775940121394	456.51844307126	564.439933132086	324.674506842026	1161.98855781799	430.720687565166	707.5615389547	564.276842569006	388.317866511693	297.090450358215	451.628534600968	658.535003693485	447.580369309675	682.773582611388	724.732807160711	364.627159444843	400.263060852912	402.851172441797	430.856395123172	392.303990557537	426.605589628815	408.842811765847	359.310253574545	497.498876373593	495.307843786454	369.141654238935	276.267836590785	416.693875550412	428.612815097269	460.675753463142	469.624670638632	325.120725805269	215.404911554108	300.355256474187	261.114291463854	149.901673198914	466.554122220196	373.820415627142	364.398241016734	368.722213733218	493.658695149193	260.811109861893	1463.81287143838	503.07790228092	575.58921380624	383.394925619961	295.281601256517	415.37760067749	352.728598742273	382.574249665929	307.955139034448	456.786791540677	514.607291908251	226.966386621577	385.234588078337	473.303759153886	345.837309721082	423.992027099726	405.032290583213	639.482484736362	485.001015154084	453.117488308801	536.391988267446	679.925405472703	373.273119695301	322.372548254543	387.929955300565	295.510347049356	687.359028944182	308.850389888353	337.429817496484	305.716220979621	267.802933899071	455.835244218788	425.746754167937	341.497665630735	273.533898538929	504.332039571327	888.361380339733	270.225597170114	572.782845618089	279.561524512236	299.07878540444	309.491803656147	449.622215425239	223.273422929288	704.509892372324	378.390227138293	774.513523459065	405.527151166778	326.892723939851	422.887594848482	461.681886811205	465.926071734225	425.725257524928	498.201828244652	386.454456911554	602.567706714444	363.066405938458	339.632761675007	708.700370701301	282.599478936535	461.410682552918	480.7216184965	436.43009262725	407.971957017414	246.893239827366	402.295885915141	635.153171377947	390.455345382176	347.592119649536	262.255801489069	350.416494270152	162.392789925682	443.266355013258	545.564372841739	295.366203836908	351.257089650535	497.652445543178	343.808805771174	276.548320870017	552.561157377405	991.823576329064	497.078513101475	298.088846898985	339.008918752191	520.709730588788	567.918765427592	574.670627132301	316.238669778959	500.71475040481	303.512756491546
CD4+ Tcm	686.900848308194	328.498946429606	139.993766837684	418.349019695363	336.139842477159	261.464341668377	87.9668418213275	289.640067528708	370.821739051516	352.504961205042	244.832756643466	368.482389272229	465.093587078995	458.363377395379	346.814982061524	529.593586978497	365.514983667744	528.758646068949	486.914954883062	455.360915843942	579.431731043906	707.452889281251	553.00757423193	335.242023458007	454.32814036201	467.676623720643	318.94731379034	397.487264682397	396.316985775525	258.717900821743	398.199693122627	510.360156957822	342.103881382399	382.693334204913	336.81622489255	637.10118613784	188.627784661184	180.859606320344	307.020872979965	532.039619513712	310.26976432569	295.460590845669	274.921118796752	600.988910744721	379.396191996018	488.202350882376	481.424641604998	468.051533117703	552.712945249482	122.602535809428	192.377283148799	160.361576057247	473.511456203515	549.964975584395	268.336856090524	383.266921878007	331.128305753078	625.951765352769	337.906564050339	873.286393214549	494.39391838614	194.938929002619	310.915962798064	279.576885331076	473.435533964112	326.265809802922	281.653091041535	281.669531126893	496.066630338116	483.718645396951	389.558142474398	392.53166973298	454.313829820736	418.138606466058	339.750006636641	410.568257393812	420.120544253177	447.473908987006	129.281535898412	495.532875481301	467.347600460717	271.787122895598	60.4881801769988	469.878844131968	393.308312154653	383.172707024803	396.732938816153	342.903157049802	443.139484946883	154.740938369649	565.252333037819	500.807257293145	435.47534499365	463.238624741346	651.800002981299	440.128362384678	466.205084602348	186.534100757118	329.585247292938	171.137971487206	317.891033552682	461.525782559236	579.331894934152	600.120501541768	434.249569621135	683.807818474605	247.962227339122	264.513131470079	156.543090166693	349.309676670939	488.784877548231	279.424845798464	533.114347249711	304.389743218918	463.112962826043	369.693494039982	497.32716027542	578.237388883111	397.769847967584	377.55435804138	477.660159048251	336.78340641662	303.761800958467	339.262838488398	247.753589821583	581.216186983835	372.248932840203	447.207703394533	339.613525469235	407.395871099374	397.881291336422	445.568235111408	500.039763007917	638.799187024835	311.550040106449	265.355352072898	512.739748644812	389.63655595331	493.087146876101	633.332668995831	466.138877696215	330.061394095302	316.037863862014	359.497874979593	455.147629303171	452.950625590204	203.044168408599	356.869325254651	224.245974233356
CD4+ Tem	751.938197378692	392.455880039519	389.997353703293	365.822533734837	416.825822533756	329.524257760672	322.244558060884	355.398787481584	441.292209604232	428.949221099216	322.774311257963	409.092651302491	451.013965707943	533.024488312813	305.376446860579	677.887572218378	489.080415579439	687.658778221244	402.008434950388	535.748228022408	467.676491540218	744.359525659116	421.300516392086	524.522680029198	441.387415240449	287.472214505497	551.347075513345	429.6645431571	630.978477350427	288.957115747745	610.76195388535	716.151048978514	316.987567609853	299.066450948173	374.640803505275	405.847262650071	336.41428976071	291.395126296914	421.77216097058	500.838080052957	267.187522521972	467.477190332973	426.093088738844	798.999260245315	377.326892093428	438.710138304043	410.109675429414	608.628845431982	514.692237908885	346.035252823472	387.920682916126	274.386257112635	635.89777412649	480.157412686328	284.443199204454	374.090314001119	364.098717127408	449.140545924106	343.737665842615	1172.69962657296	529.593786745205	435.019190270174	378.305603250643	420.535276841727	343.451616281759	444.991900900157	351.367316701803	346.725415912845	608.269858004337	302.737235794565	594.867905033204	354.321039954796	448.597437270722	423.426278868121	379.242862837554	317.467529177869	382.668257231276	346.298123120803	281.661734484515	380.266222145762	553.329989199701	296.144150281371	315.870101711942	480.842426005677	414.512232442459	420.918567269234	714.215586120312	302.366620675604	446.060122439077	411.932142375119	358.757081876299	587.2775426909	359.998969129196	587.689103511034	575.340490975013	844.81416310679	537.428310539265	371.612775445545	537.997764747017	207.808207195587	413.733442478417	514.107972035691	385.665247082186	611.583370219135	551.8187631799	579.668221089194	426.710425096058	393.870562969973	258.219616394043	549.251297116703	503.050050925517	538.660746920774	289.146977053205	290.16542912774	350.686395350549	356.442619970295	494.374049653426	634.436799209555	506.368746586417	507.108844358813	483.109755366167	491.18429183959	363.547683894621	344.274859292811	318.167949663936	615.363966168024	384.416321385787	418.883021317176	440.698338585564	380.253887389448	369.149725042364	381.174916466715	429.977562681724	643.988283393463	347.686779628507	136.205189534687	449.09159048843	461.500103137714	521.168938356067	715.53334842954	436.388367399206	374.530936748341	324.361271758503	417.177704527084	398.955520768818	604.060723803191	201.955023087682	421.95654063604	278.801302973744
CD4+ memory T-cells	900.166697285984	517.092763309248	226.813882428993	434.574280898845	614.104070789439	463.888720965164	455.704623301217	520.445311041746	241.398662041469	201.001775452481	304.360795994352	567.795712636797	481.804449131352	448.284930643985	622.801342144368	811.745648154278	499.045164536872	674.289252458269	362.210797351177	590.922463058838	480.28645933434	1191.27374939374	474.241082959179	766.499037666662	982.732313564569	443.107023943182	478.719554155179	608.080088288359	752.657471861523	454.928596709975	644.680341897407	666.91057531561	374.049196905982	289.010849540181	625.034619229434	582.312278292746	332.186554125774	663.280537560649	564.475007203927	501.98958667285	345.612551777196	466.242007900423	371.824432540965	212.076698743256	393.859794191443	533.730159321726	433.151627378853	444.988036522266	411.795641579125	453.684461533791	374.544204583276	313.683015032143	51.9699564032163	436.535947851433	314.803597816163	463.665982633924	358.020890639721	419.854070263259	370.870011314892	1428.96122974164	319.393767313073	727.224420329484	306.606591254477	361.176523979529	388.013344735067	445.15378327189	265.042174685349	355.852689541598	529.316239822557	426.562459902408	367.428744695333	292.243801607493	473.039011816166	376.660086356065	384.730714839373	305.32762840062	635.141575362721	624.301481494745	586.050625018206	546.182307954842	605.363962036519	272.423954611942	396.431211018758	339.39239318813	474.981282800522	663.082169817282	304.36337651677	295.293460781769	415.711080938716	395.468352385407	564.145605208818	402.752831926751	389.853771444061	444.3621045436	473.33734102476	871.710454862951	464.605775109529	581.316221908059	342.824973693922	304.03257987078	414.022494632735	607.135498059238	228.211220325641	519.260283659457	515.246377798949	851.056935788087	564.644717121981	288.130021965878	553.603122363678	449.348548535589	743.388799479056	459.586539112435	354.398026620114	397.458756775346	638.856533020441	497.006540916926	391.200269770379	602.629278949559	302.182435639309	600.744499966849	553.614116214835	574.665158140227	492.21889564068	322.939691810675	523.165419282178	662.713119733523	376.988160888907	484.233702220038	347.736261224218	433.659463585115	352.906824128941	460.937609139429	445.410936868843	107.594911596599	309.730676884411	211.859477648946	312.66998788227	365.968244746622	425.133250979652	885.660561096112	576.619848771375	405.3750705379	337.423952184114	534.439031082676	607.829038111315	599.62903076364	252.158801517044	366.30392883681	482.318905620968
CD4+ naive T-cells	1005.32730292202	449.480681890387	177.796780528631	500.092961734411	590.973243216689	332.654091702361	537.153741896154	402.486952788632	413.259546254272	272.387469791354	505.068517626072	432.621279557227	539.582719141426	442.67952438098	513.149947193796	851.629475397731	339.114121143669	484.546415218348	434.197326373207	638.49073845653	327.035747607737	1250.62749697216	544.481368302219	705.953029803176	492.92698627139	285.916559793435	374.548995760122	518.73182762653	880.632081273818	492.459322874358	768.946526582636	943.932082329207	431.360801157522	397.575046181236	380.304190603436	286.492495099279	391.332940825523	566.090713822688	520.873110686116	533.277418242464	516.703303672684	593.661193203834	346.947623880934	616.341651361358	488.166929906457	372.812813679018	464.822277009665	440.217524052382	271.869259492115	273.987624069809	275.473508115796	263.318758667049	383.023582233604	489.865402363047	385.431491957894	309.411153671716	467.176370044426	539.446826853771	387.835026030291	1603.64269619111	496.142207722613	482.581959801574	433.433873400539	353.368841397592	454.176230793614	324.989002606753	377.980690924104	400.228231370402	402.22090765844	353.98127942575	289.013105139786	344.056876014098	538.564033860643	351.337562768091	460.899905096507	351.194227891511	642.152767751733	405.670589985551	536.250022530951	470.649679563939	757.775938394715	406.171305471041	396.926141901961	391.923809328002	264.135352633247	674.397918285044	450.939762201999	359.838317508388	303.518178967145	379.054855922249	315.536901009278	506.619372194918	355.207224541633	331.308461966038	429.986142141215	1065.48474890475	227.127526212948	646.389948950903	273.184296518846	276.102035113226	408.649449576634	581.815758702066	358.842702502282	838.988267884262	333.899245723123	747.726037003452	532.175042142637	323.242550818231	487.915935629301	627.437084994303	620.691722530392	474.112654043371	521.597001326768	271.125284857343	431.361626998963	344.0464312164	340.745411721461	775.262831140554	369.673930696363	398.410661390297	574.668120330025	467.213725224191	444.607066679284	391.294899991679	426.681055530733	637.040025169266	422.521176021489	387.691112423985	268.153984916602	424.56426282764	216.260631188606	449.10346773853	516.643417888702	481.997427279648	468.056099109294	504.125027159923	457.326227870267	331.877467957251	576.647651587527	1108.08148065891	301.005475914643	291.520018060351	369.119744512718	390.706984316492	604.738923217021	535.80932692646	278.753353043866	521.785409343659	319.111968752518
CD8+ T-cells	1108.34995617836	528.390193796035	236.745188064428	461.336576754516	670.32595110978	358.904497447934	390.972886510914	427.591920560432	372.040832926682	306.167032958232	349.224232310839	352.779457056826	408.190214474531	486.717609574202	371.818900927965	627.903211580733	406.085403806461	491.993749685389	438.448121843285	604.495155843058	513.412206535083	1138.46474912862	509.322193228255	744.742396440691	654.738035097947	465.282274829063	377.880804124273	600.60483803557	767.053174737629	459.771384589393	688.023839312818	693.76649932487	392.973513065818	421.094595589758	411.410709883571	515.539363439947	333.720327038161	356.189034169503	456.50264972377	388.462537364949	515.013882331972	350.422705293004	297.983595994389	574.691341907157	302.073889873417	454.3078467235	432.680539506597	388.273186319796	442.640583920282	242.380374863544	368.311619387994	334.198733378351	341.20780660142	275.361183637313	322.120348661636	372.382869006249	327.286739378744	624.678787352083	336.917810402417	1519.37783274993	411.209416964366	470.380529500681	359.365067386544	379.237193396686	566.851342230299	363.353914696651	181.064542085851	271.351700291341	495.784053639286	591.843757832491	474.382187718607	372.70527990456	463.179596045728	462.5643605422	505.967389587075	317.1007775284	406.216025973231	588.48982231911	417.137938834269	462.806234344353	554.226237119089	258.038561879603	306.054627329256	384.428623427111	514.088620720966	584.876222540153	402.470895749747	304.581618673342	494.538308955964	344.941300686708	450.916649664548	498.398230888612	379.391841684762	397.439702179734	556.982159305385	973.493218243109	245.715037504633	415.566654885462	398.084047908015	242.414312025354	386.349398154321	623.656021179118	412.602911011797	692.423466964747	473.346122045536	915.623017050617	561.480364987434	240.163222939352	443.376482991523	398.084215860512	614.094360405605	470.94245554303	507.259926074279	282.750573423121	438.527033573954	276.114451381249	398.613130761615	604.749257732797	542.27762307683	457.44168636234	521.822848176226	606.440894147752	411.012133860203	491.054862148005	342.940229701701	571.549905004322	474.216358369746	461.931874185727	366.470570982093	430.145349056583	309.213822632268	537.090554504708	451.482509554525	401.576920596075	355.469931283543	334.765067367352	408.315210471245	383.100324963615	489.718030626637	1052.9402694893	443.161541726007	352.83956791399	359.370592341332	514.537099827566	442.509336896632	726.996969317554	296.799950054192	543.117831865253	367.766024562868
